,Date,Open,High,Low,Close,Volume,Signal,NumBuy,Cost,NumSell,Income,Profit
196,10/17/2013,9.6,9.7,9.5,9.5,1165619,1,10300.0,-99048.096,,,
197,10/18/2013,9.55,9.65,9.4,9.6,995932,1,,,,,
198,10/21/2013,9.5,9.55,9.1,9.1,1725764,-1,,,,,
199,10/22/2013,9.1,9.4,8.95,9.4,1801275,-1,,,-10300.0,93570.659,-5477.437000000005
200,10/24/2013,9.3,9.35,9.15,9.3,905678,-1,,,,,
201,10/25/2013,9.3,9.35,9.15,9.15,532439,1,,,,,
202,10/28/2013,9.25,9.35,9.2,9.25,273564,1,10700.0,-99143.2575,,,
203,10/29/2013,9.25,9.7,9.2,9.7,1359246,1,,,,,
204,10/30/2013,9.65,9.65,9.15,9.35,2465229,1,,,,,
205,10/31/2013,8.4,8.85,8.25,8.45,11034846,-1,,,,,
206,11/1/2013,8.35,8.35,7.9,8.0,5458225,-1,,,-10700.0,89193.11349999999,-9950.144000000015
207,11/4/2013,7.75,8.15,7.75,7.8,4119046,-1,,,,,
208,11/5/2013,8.0,8.3,8.0,8.3,4403264,-1,,,,,
209,11/6/2013,8.25,8.35,8.1,8.3,3133080,1,,,,,
210,11/7/2013,8.25,8.35,8.1,8.2,3018595,1,12100.0,-99994.7025,,,
211,11/8/2013,8.15,8.2,7.8,7.95,2120290,1,,,,,
212,11/11/2013,7.75,7.95,7.75,7.95,1144277,-1,,,,,
213,11/12/2013,8.1,8.2,8.05,8.15,1694925,-1,,,-12100.0,97843.383,-2151.319499999998
214,11/13/2013,8.15,8.35,8.1,8.3,1396886,1,,,,,
215,11/14/2013,8.35,8.4,8.15,8.15,2229570,1,11900.0,-99533.92050000001,,,
216,11/15/2013,8.25,8.25,8.05,8.2,2125001,1,,,,,
217,11/18/2013,8.3,8.3,8.1,8.1,1821116,-1,,,,,
218,11/19/2013,8.15,8.2,8.0,8.2,1461320,-1,,,-11900.0,96820.1255,-2713.795000000013
219,11/20/2013,8.15,8.2,8.0,8.1,2690099,-1,,,,,
220,11/21/2013,8.0,8.05,7.4,7.5,2022182,-1,,,,,
221,11/22/2013,7.55,7.7,7.35,7.5,2378127,-1,,,,,
222,11/25/2013,7.4,7.55,7.3,7.5,1340698,-1,,,,,
223,11/26/2013,7.5,7.75,7.45,7.6,2541429,1,,,,,
224,11/27/2013,7.6,7.95,7.55,7.95,4410778,1,13100.0,-99729.25200000001,,,
225,11/28/2013,7.95,8.0,7.65,7.7,2119078,1,,,,,
226,11/29/2013,7.65,7.85,7.55,7.85,2053309,1,,,,,
227,12/2/2013,7.7,7.95,7.6,7.85,1343532,1,,,,,
228,12/3/2013,7.85,8.1,7.8,8.05,2682621,1,,,,,
229,12/4/2013,7.95,8.1,7.85,7.9,1581414,1,,,,,
230,12/6/2013,7.9,7.9,7.55,7.75,1795499,-1,,,,,
