Date,Open,High,Low,Close,Volume,SMA10,EMA10
11/14/2000,20.25,20.75,20.25,20.5,8512,20.3,20.16297125170379
11/15/2000,20.75,21.25,20.75,21.0,18451,20.5,20.31515829684856
11/16/2000,20.75,21.0,20.5,20.75,6155,20.7,20.394220424694275
11/17/2000,20.75,21.5,20.75,21.5,12567,20.9,20.595271256568044
11/20/2000,21.5,21.5,20.75,20.75,8299,20.9,20.623403755373854
11/21/2000,20.5,20.75,20.25,20.5,13753,20.85,20.60096670894224
11/22/2000,20.5,20.75,20.25,20.25,2502,20.7,20.53715458004365
11/23/2000,20.0,20.25,20.0,20.25,4462,20.65,20.484944656399353
11/24/2000,20.0,20.5,20.0,20.25,1849,20.6,20.442227446144926
11/27/2000,20.5,20.75,20.25,20.5,2494,20.625,20.452731546845847
11/28/2000,20.5,20.5,20.0,20.25,4042,20.6,20.415871265601147
11/29/2000,20.25,20.25,20.0,20.0,5347,20.5,20.34025830821912
11/30/2000,20.0,20.0,19.5,19.75,4420,20.4,20.23293861581564
12/1/2000,19.75,19.75,19.0,19.0,5975,20.15,20.008767958394614
12/4/2000,19.0,19.25,18.75,19.25,3674,20.0,19.87081014777741
12/6/2000,19.75,19.75,19.0,19.25,6635,19.875,19.75793557545424
12/7/2000,19.25,19.25,19.0,19.25,4235,19.775,19.665583652644376
12/8/2000,19.25,19.25,18.5,18.75,5955,19.625,19.499113897618127
12/12/2000,18.75,19.0,18.5,18.5,4558,19.45,19.317456825323923
12/13/2000,18.5,18.75,18.0,18.75,11185,19.275,19.21428285708321
12/14/2000,18.75,19.0,18.5,18.5,2667,19.1,19.084413246704443
12/15/2000,18.75,19.25,18.75,19.0,8951,19.0,19.06906538366727
12/18/2000,19.0,19.0,18.75,18.75,2514,18.9,19.011053495727765
12/19/2000,19.0,19.0,18.75,19.0,6763,18.9,19.009043769231805
12/20/2000,19.0,19.25,18.75,18.75,3149,18.85,18.96194490209875
12/21/2000,18.75,19.0,18.5,18.75,2666,18.8,18.923409465353522
12/22/2000,18.75,19.25,18.75,19.0,13122,18.775,18.937335017107426
12/25/2000,19.25,19.25,19.0,19.0,938,18.8,18.948728650360618
12/26/2000,19.0,19.0,18.75,19.0,14984,18.85,18.958050713931414
12/27/2000,19.0,19.25,19.0,19.25,8024,18.9,19.011132402307517
12/28/2000,19.25,19.75,19.25,19.75,16280,19.025,19.14547196552433
12/29/2000,19.75,19.75,19.5,19.75,839,19.1,19.255386153610814
1/3/2001,19.25,19.75,19.25,19.5,3435,19.175,19.299861398408847
1/4/2001,20.0,20.75,20.0,20.5,26470,19.325,19.518068416879967
1/5/2001,20.5,22.0,20.5,22.0,32012,19.65,19.96932870471997
1/8/2001,23.0,27.5,22.75,26.5,137325,20.425,21.156723485679976
1/9/2001,26.25,27.75,25.5,25.5,125616,21.075,21.94641012464725
1/10/2001,26.0,26.5,25.0,25.25,54512,21.7,22.547062829256838
1/11/2001,25.0,26.25,25.0,25.75,77045,22.375,23.129415042119227
1/12/2001,26.5,27.5,26.5,27.25,76149,23.175,23.878612307188455
1/15/2001,27.75,28.0,26.5,26.75,70308,23.875,24.40068279679055
1/16/2001,27.0,27.0,25.25,25.25,36363,24.425,24.555104106464995
1/17/2001,25.25,26.75,24.75,26.25,41928,25.1,24.863266996198632
1/18/2001,27.0,27.25,26.5,26.5,51177,25.7,25.16085481507161
1/19/2001,27.0,27.25,26.0,26.25,18688,26.125,25.358881212331315
1/22/2001,26.25,26.75,26.0,26.75,12653,26.15,25.611811900998347
1/23/2001,27.0,28.5,26.75,27.75,56265,26.375,26.000573373544103
1/24/2001,28.0,28.25,27.25,27.5,28180,26.6,26.273196396536083
1/25/2001,27.75,29.25,27.75,29.25,65482,26.95,26.8144334153477
1/26/2001,30.0,30.5,28.25,28.5,48326,27.075,27.12090006710266
1/29/2001,28.75,29.0,28.25,28.5,19754,27.25,27.37164550944763
1/30/2001,28.5,28.5,27.0,27.0,15589,27.425,27.304073598638972
1/31/2001,27.25,28.25,27.0,28.25,13896,27.625,27.476060217068248
2/1/2001,28.25,29.0,27.5,28.25,25479,27.8,27.616776541237655
