,Date,Open,High,Low,Close,Volume,UB,MB,LB,Signal
233,12/12/2000,18.75,19.0,18.5,18.5,4558,21.61361078006129,20.025,18.436389219938707,1
234,12/13/2000,18.5,18.75,18.0,18.75,11185,21.63272961207945,19.95,18.267270387920547,1
235,12/14/2000,18.75,19.0,18.5,18.5,2667,21.63000591365092,19.85,18.069994086349084,1
236,12/15/2000,18.75,19.25,18.75,19.0,8951,21.48205080756907,19.75,18.01794919243093,1
237,12/18/2000,19.0,19.0,18.75,18.75,2514,21.36985311490336,19.65,17.930146885096637,1
238,12/19/2000,19.0,19.0,18.75,19.0,6763,21.028504677674857,19.525,18.02149532232514,1
239,12/20/2000,19.0,19.25,18.75,18.75,3149,20.849411235711717,19.425,18.000588764288285,1
240,12/21/2000,18.75,19.0,18.5,18.75,2666,20.6974051824535,19.3375,17.977594817546496,1
241,12/22/2000,18.75,19.25,18.75,19.0,13122,20.571757088806216,19.275,17.97824291119378,1
242,12/25/2000,19.25,19.25,19.0,19.0,938,20.42943099748192,19.2125,17.995569002518078,1
243,12/26/2000,19.0,19.0,18.75,19.0,14984,20.26685649080506,19.15,18.033143509194936,1
244,12/27/2000,19.0,19.25,19.0,19.25,8024,20.009097583147838,19.0875,18.16590241685216,1
245,12/28/2000,19.25,19.75,19.25,19.75,16280,19.871576796823813,19.0625,18.253423203176187,1
246,12/29/2000,19.75,19.75,19.5,19.75,839,19.803937034925575,19.05,18.296062965074427,1
247,1/3/2001,19.25,19.75,19.25,19.5,3435,19.749705617856286,19.0375,18.325294382143717,1
248,1/4/2001,20.0,20.75,20.0,20.5,26470,20.078705274038455,19.1125,18.146294725961546,1
249,1/5/2001,20.5,22.0,20.5,22.0,32012,20.864082760547145,19.25,17.635917239452855,1
250,1/8/2001,23.0,27.5,22.75,26.5,137325,23.23434526973412,19.6125,15.990654730265879,1
251,1/9/2001,26.25,27.75,25.5,25.5,125616,24.394487195358586,19.925,15.455512804641417,1
252,1/10/2001,26.0,26.5,25.0,25.25,54512,25.271008495889056,20.25,15.228991504110946,-1
253,1/11/2001,25.0,26.25,25.0,25.75,77045,26.124389063890174,20.6125,15.100610936109828,-1
254,1/12/2001,26.5,27.5,26.5,27.25,76149,27.215293423136437,21.0375,14.859706576863566,-1
255,1/15/2001,27.75,28.0,26.5,26.75,70308,28.004628738131338,21.45,14.895371261868661,-1
256,1/16/2001,27.0,27.0,25.25,25.25,36363,28.420449344481717,21.7625,15.104550655518281,-1
257,1/17/2001,25.25,26.75,24.75,26.25,41928,28.92462984839303,22.1375,15.350370151606967,-1
258,1/18/2001,27.0,27.25,26.5,26.5,51177,29.39779134039406,22.5125,15.627208659605937,-1
259,1/19/2001,27.0,27.25,26.0,26.25,18688,29.726773199305388,22.8875,16.04822680069461,-1
260,1/22/2001,26.25,26.75,26.0,26.75,12653,30.04315065626352,23.2875,16.531849343736482,-1
261,1/23/2001,27.0,28.5,26.75,27.75,56265,30.444766599956782,23.725,17.00523340004322,-1
262,1/24/2001,28.0,28.25,27.25,27.5,28180,30.68412096935044,24.15,17.615879030649555,-1
263,1/25/2001,27.75,29.25,27.75,29.25,65482,31.103068379625466,24.6625,18.221931620374537,-1
264,1/26/2001,30.0,30.5,28.25,28.5,48326,31.249798600340796,25.125,19.000201399659204,-1
265,1/29/2001,28.75,29.0,28.25,28.5,19754,31.30906648058553,25.5625,19.81593351941447,-1
266,1/30/2001,28.5,28.5,27.0,27.0,15589,31.003592842821476,25.925,20.846407157178525,-1
267,1/31/2001,27.25,28.25,27.0,28.25,13896,30.53785059983931,26.3625,22.187149400160692,-1
268,2/1/2001,28.25,29.0,27.5,28.25,25479,29.961820274187783,26.75,23.538179725812217,-1
269,2/2/2001,28.25,29.25,28.25,29.0,18054,29.573012226755793,27.1,24.62698777324421,-1
270,2/5/2001,28.5,29.25,28.25,28.5,19389,29.731901719219938,27.2,24.66809828078006,-1
271,2/6/2001,28.75,28.75,28.0,28.0,15097,29.748025511953667,27.325,24.90197448804633,-1
272,2/7/2001,28.0,28.75,28.0,28.75,15992,29.794157338705478,27.5,25.205842661294522,-1
273,2/9/2001,28.75,29.25,28.25,28.25,17006,29.786261814676394,27.625,25.463738185323606,-1
274,2/12/2001,28.25,28.25,26.5,27.0,20916,29.785752474009595,27.6125,25.439247525990407,-1
275,2/13/2001,27.25,27.75,27.0,27.75,9003,29.79788484144006,27.6625,25.527115158559944,-1
276,2/14/2001,27.75,28.75,27.0,28.25,34657,29.632527472319943,27.8125,25.992472527680057,-1
277,2/15/2001,28.25,28.25,27.25,27.25,14285,29.55205771228958,27.8625,26.17294228771042,-1
278,2/16/2001,27.75,28.0,27.5,27.75,7533,29.49024758424963,27.925,26.35975241575037,-1
